chance_level,pair_index,prob_bridge_given_valid,prob_causal_given_bridge,prob_valid,source,step,support_bridge,support_causal,support_valid,target
0.125,97,0.3465588639081479,1.0,0.7757546901702881,7,18000,8,8,15,80
0.14285714285714285,98,0.25156431212428426,1.0,0.8722584247589111,10,18000,7,7,14,60
0.16666666666666666,99,0.16594946429497043,1.0,0.8394306898117065,17,18000,6,6,10,76
0.1,100,0.6483713400793337,1.0,0.5772207975387573,14,18000,10,10,12,75
0.1111111111111111,101,0.6315006082596261,1.0,0.8726197481155396,16,18000,9,9,12,74
0.16666666666666666,102,0.4259273016397826,1.0,0.8368402123451233,8,18000,6,6,12,76
0.14285714285714285,103,1.0,1.0,0.739371657371521,29,18000,7,7,7,73
0.25,104,0.47533221592014957,1.0,0.753966212272644,23,18000,4,4,8,72
0.14285714285714285,105,0.2234707176676452,1.0,0.884067177772522,10,18000,7,7,14,66
0.1111111111111111,106,0.7622747028163532,1.0,0.7994973063468933,24,18000,9,9,10,78
0.1111111111111111,107,0.2304815898901069,1.0,0.8384876251220703,4,18000,9,9,17,63
0.14285714285714285,108,1.0,1.0,0.6739830374717712,29,18000,7,7,7,63
0.25,109,0.3133370198264097,1.0,0.8018441796302795,23,18000,4,4,8,85
0.1111111111111111,110,0.6800106852728027,1.0,0.7854112982749939,24,18000,9,9,10,85
0.14285714285714285,111,0.5813440236562039,1.0,0.8344175219535828,10,18000,7,7,14,89
0.1,112,0.5977184740350879,1.0,0.8047515153884888,0,18000,10,10,23,72
0.08333333333333333,113,0.8864474077386263,1.0,0.8317941427230835,22,18000,12,12,13,88
0.2,114,0.12891040275726573,1.0,0.7807823419570923,5,18000,5,5,13,67
0.1,115,0.33720185179069967,1.0,0.8230748176574707,3,18000,10,10,18,65
0.14285714285714285,116,0.5489227110551602,1.0,0.7307024598121643,10,18000,7,7,14,83
0.1111111111111111,117,0.3365714950456595,1.0,0.6988807916641235,4,18000,9,9,17,80
0.16666666666666666,118,0.2323314741483748,1.0,0.7868056297302246,17,18000,6,6,10,81
0.2,119,0.16790716110995818,1.0,0.6410651206970215,5,18000,5,5,13,74
0.1,120,0.25056996304050577,0.9823746643047522,0.9158533811569214,11,18000,10,8,17,62
0.1,121,0.687155423210381,1.0,0.8037049770355225,27,18000,10,10,11,63
0.1,122,1.0,1.0,0.7660735845565796,28,18000,10,10,10,63
0.2,123,0.207816710948752,1.0,0.42572420835494995,5,18000,5,5,13,87
0.1111111111111111,124,0.677101200881955,1.0,0.7830368280410767,24,18000,9,9,10,60
0.1,125,0.7813988089801692,1.0,0.8484036922454834,19,18000,10,10,12,79
0.2,126,0.13384585881045025,1.0,0.6701797246932983,5,18000,5,5,13,71
0.16666666666666666,127,0.2843700574178007,1.0,0.8041744828224182,13,18000,6,6,11,88
0.1111111111111111,128,0.1684650362571232,0.9797955440498654,0.8616398572921753,15,18000,9,7,15,62
0.14285714285714285,129,0.0712902971492754,1.0,0.8677526712417603,1,18000,7,7,17,77
0.16666666666666666,130,0.30018506696945396,1.0,0.729039192199707,17,18000,6,6,10,87
0.16666666666666666,131,0.36468027673206505,1.0,0.8552867770195007,13,18000,6,6,11,79
0.1,132,1.0,1.0,0.7872732281684875,28,18000,10,10,10,66
0.16666666666666666,133,0.2821575512903593,0.993934891628552,0.8523700833320618,8,18000,6,5,12,70
0.1,134,0.7687398434605667,1.0,0.8369354009628296,27,18000,10,10,11,64
0.16666666666666666,135,0.0732680431098608,1.0,0.8476911187171936,6,18000,6,6,15,77
0.16666666666666666,136,0.1977955871388814,1.0,0.8448700904846191,17,18000,6,6,10,60
0.07692307692307693,137,0.857880605039967,0.9987417295700746,0.8014866709709167,18,18000,13,12,14,63
0.1111111111111111,138,0.6159346522181127,1.0,0.765672504901886,24,18000,9,9,10,73
0.16666666666666666,139,0.2634689678214334,1.0,0.7441039681434631,17,18000,6,6,10,75
0.14285714285714285,140,0.29376366064228354,1.0,0.8936731219291687,10,18000,7,7,14,70
0.16666666666666666,141,0.14408101954657465,1.0,0.7671349048614502,6,18000,6,6,15,76
0.1,142,1.0,1.0,0.6555747389793396,28,18000,10,10,10,85
